n_simbolos_processados,comprimento_medio_progressivo
39900,2.827498
40000,2.826718
40100,2.826298
40200,2.826486
40300,2.825328
40400,2.824060
40500,2.824115
40600,2.824428
40700,2.823250
40800,2.821223
40900,2.819783
41000,2.819633
41100,2.819224
41200,2.819242
41300,2.818764
41400,2.818518
41500,2.816959
41600,2.816367
41700,2.815819
41800,2.816344
41900,2.815342
42000,2.814949
42100,2.813805
42200,2.814258
42300,2.813913
42400,2.811837
42500,2.810764
42600,2.809161
42700,2.808828
42800,2.807350
42900,2.806193
43000,2.805179
43100,2.804420
43200,2.803335
43300,2.803875
43400,2.802621
43500,2.802220
43600,2.801976
43700,2.800552
43800,2.798429
43900,2.797472
44000,2.798169
44100,2.797602
44200,2.796605
44300,2.796611
44400,2.795534
44500,2.794484
44600,2.794788
44700,2.794504
44800,2.793116
44900,2.792840
45000,2.792696
45100,2.792189
45200,2.791195
45300,2.789850
45400,2.788658
45500,2.787322
45600,2.786105
45700,2.785539
45800,2.784614
45900,2.783171
46000,2.783454
46100,2.782636
46200,2.782581
46300,2.781878
46400,2.781472
46500,2.780133
46600,2.779255
46700,2.778657
46800,2.778819
46900,2.778455
47000,2.778800
47100,2.777576
47200,2.776209
47300,2.774964
47400,2.774676
47500,2.774069
47600,2.773906
47700,2.772355
47800,2.771619
47900,2.771746
48000,2.771614
48100,2.771076
48200,2.771081
48300,2.771155
48400,2.770763
48500,2.769927
48600,2.769077
48700,2.768985
48800,2.767300
48900,2.766238
49000,2.765042
49100,2.764906
49200,2.765411
49300,2.763927
49400,2.763684
49500,2.762927
49600,2.761181
49700,2.760939
49800,2.759615
49900,2.758023
50000,2.756903
50100,2.757020
50200,2.756185
50300,2.755768
50400,2.754955
50500,2.754181
50600,2.752784
50700,2.752089
50800,2.750935
50900,2.750319
51000,2.750027
51100,2.748807
51200,2.748259
51300,2.747603
51400,2.746925
51500,2.747151
51600,2.746156
51700,2.746050
51800,2.745749
51900,2.745887
52000,2.745388
52100,2.744811
52200,2.743731
52300,2.742735
52400,2.742045
52500,2.741790
52600,2.740701
52700,2.740456
52800,2.739343
52900,2.738703
53000,2.738343
53100,2.737956
53200,2.737053
53300,2.736495
53400,2.735865
53500,2.734719
53600,2.732979
53700,2.732507
53800,2.730705
53900,2.730217
54000,2.730338
54100,2.730486
54200,2.730513
54300,2.731017
54400,2.730943
54500,2.731109
54600,2.731585
54700,2.732088
54800,2.731754
54900,2.731235
55000,2.729773
55100,2.729242
55200,2.728975
55300,2.728368
55400,2.726986
55500,2.726058
55600,2.725994
55700,2.725303
55800,2.725610
55900,2.725293
56000,2.725136
56100,2.724645
56200,2.723908
56300,2.723169
56400,2.723255
56500,2.723484
56600,2.722488
56700,2.722221
56800,2.722027
56900,2.721452
57000,2.721106
57100,2.720993
57200,2.719975
57300,2.718765
57400,2.719310
57500,2.718616
57600,2.718022
57700,2.717175
57800,2.716510
57900,2.716571
58000,2.716490
58100,2.715489
58200,2.714627
58300,2.715068
58400,2.714447
58500,2.714336
58600,2.713499
58700,2.713508
58800,2.712361
58900,2.712161
59000,2.711491
59100,2.711758
59200,2.711869
59300,2.712356
59400,2.711801
59500,2.711274
59600,2.711253
59700,2.709753
59800,2.709011
59900,2.708586
60000,2.708562
60100,2.707723
60200,2.707344
60300,2.706174
60400,2.705374
60500,2.705261
60600,2.705690
60700,2.705429
60800,2.705414
60900,2.705093
61000,2.704273
61100,2.704566
61200,2.703899
61300,2.703027
61400,2.703140
61500,2.702150
61600,2.701461
61700,2.701288
61800,2.700678
61900,2.699668
62000,2.699036
62100,2.698313
62200,2.697257
62300,2.697657
62400,2.696500
62500,2.696847
62600,2.696735
62700,2.696266
62800,2.695610
62900,2.695167
63000,2.695701
63100,2.695139
63200,2.694701
63300,2.694688
63400,2.694438
63500,2.693806
63600,2.693494
63700,2.692566
63800,2.691728
63900,2.692110
64000,2.691171
64100,2.690560
64200,2.691090
64300,2.690322
64400,2.689756
64500,2.689258
64600,2.689024
64700,2.688218
64800,2.687417
64900,2.687110
65000,2.686679
65100,2.686433
65200,2.685737
65300,2.685533
65400,2.685297
65500,2.685750
65600,2.685717
65700,2.684997
65800,2.684539
65900,2.684460
66000,2.684277
66100,2.683997
66200,2.683455
66300,2.682650
66400,2.681779
66500,2.680829
66600,2.680038
66700,2.679366
66800,2.677726
66900,2.678450
67000,2.677995
67100,2.677872
67200,2.676986
67300,2.677287
67400,2.677415
67500,2.676678
67600,2.676650
67700,2.676188
67800,2.676163
67900,2.676335
68000,2.675247
68100,2.674624
68200,2.674838
68300,2.674260
68400,2.674366
68500,2.673643
68600,2.673171
68700,2.672122
68800,2.671892
68900,2.670548
69000,2.669988
69100,2.668964
69200,2.667686
69300,2.666824
69400,2.666279
69500,2.665459
69600,2.664995
69700,2.664406
69800,2.664639
69900,2.664032
70000,2.664308
70100,2.664745
70200,2.664814
70300,2.664566
70400,2.664465
70500,2.664809
70600,2.664026
70700,2.663568
70800,2.662982
70900,2.662632
71000,2.662781
71100,2.662841
71200,2.662495
71300,2.662237
71400,2.661177
71500,2.660772
71600,2.660320
71700,2.659741
71800,2.659055
71900,2.658583
72000,2.657857
72100,2.657687
72200,2.657517
72300,2.656800
72400,2.656449
72500,2.656436
72600,2.656192
72700,2.655918
72800,2.655119
72900,2.654570
73000,2.654664
73100,2.653960
73200,2.653448
73300,2.653204
73400,2.653116
73500,2.652325
73600,2.651259
73700,2.650926
73800,2.651352
73900,2.650690
74000,2.650349
74100,2.650547
74200,2.649318
74300,2.648636
74400,2.648101
74500,2.647433
74600,2.646853
74700,2.646014
74800,2.645782
74900,2.645279
75000,2.644265
75100,2.643797
75200,2.643197
75300,2.642340
75400,2.642687
75500,2.641903
75600,2.641766
75700,2.641227
75800,2.640328
75900,2.639921
76000,2.639276
76100,2.638645
76200,2.637501
76300,2.637103
76400,2.636237
76500,2.635202
76600,2.635044
76700,2.634560
76800,2.633755
76900,2.633266
77000,2.632500
77100,2.632352
